,W01_001,W01_002,W01_003,W01_004,W01_005,W01_006,W01_007,W01_008,W01_009,W01_010,W01_011,W01_012,W01_013,W01_014,geometry
0,駒込,191,堤川,駒込川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",84.5,270,320,7800,都道府県,-,青森県青森市大字駒込,4,POINT (140.8858935039343 40.70977115787313)
1,下湯,192,堤川,堤川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",70,783.5,3723,12600,都道府県,1988,青森県青森市大字荒川字横倉,1,POINT (140.7794205974212 40.69177706126573)
2,浅虫,193,浅虫川,浅虫川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",9,215,10,300,都道府県,2002,青森県青森市大字浅虫字山下,1,POINT (140.8718785330277 40.8852177040529)
3,田の沢溜池,194,小湊川,小湊川,アースダム,灌漑，特定(新規)灌漑用水,21,205,124,1174,市区町村,1945,青森県東津軽郡平内町大字松野木,1,POINT (140.9914745694981 40.89848478324366)
4,清水目,195,野辺地川,野辺地川,重力式コンクリートダム,洪水調節，農地防災,33.5,195,75,2630,都道府県,2000,青森県上北郡東北町字清水目,1,POINT (141.0761135962635 40.81095483029088)
5,川内,196,川内川,川内川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",55,137,94,16500,都道府県,1994,青森県むつ市川内町福浦山,1,POINT (140.8945231565005 41.27481613108974)
6,作田,198,高瀬川,作田川,ロックフィルダム,洪水調節，農地防災,31.5,257,425,1282,都道府県,1979,青森県上北郡七戸町字左組,1,POINT (141.0565794276781 40.71379766371473)
7,和田,199,高瀬川,和田川,ロックフィルダム,洪水調節，農地防災,44,303,612,3055,都道府県,1996,青森県上北郡七戸町字山館,1,POINT (141.0869787205421 40.68919735580545)
8,天間,197,高瀬川,坪川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",50.5,202.8,107,19584,都道府県,1970,青森県上北郡七戸町天間舘字北天間舘国有林27林班,1,POINT (141.0639843375695 40.78833793038924)
9,四和,201,奥入瀬川,後藤川,アースダム,洪水調節，農地防災,22.8,121.2,90,825,都道府県,1961,青森県十和田市大字滝沢字上指久保,1,POINT (141.1044227795576 40.49966053433334)
10,二の倉,202,五戸川,五戸川,アスファルトフェイシングダム,洪水調節，農地防災,37,106,186,2810,都道府県,1970,青森県三戸郡新郷村大字戸来字雨池,1,POINT (141.0789553503148 40.42725154517273)
11,又木戸,203,五戸川,三川目川,アースダム,洪水調節，農地防災,34.6,179.6,298,1236,都道府県,1988,青森県三戸郡新郷村大字戸来字長崎,1,POINT (141.0860830225723 40.46136508974638)
12,夏坂,209,馬淵川,熊原川,重力式コンクリートダム,洪水調節，農地防災,27.5,141,32,810,都道府県,1966,青森県三戸郡田子町大字夏坂字大川目北来満山,2,POINT (140.9893388939927 40.29153260229625)
13,花木,205,馬淵川,杉倉川,ロックフィルダム,洪水調節，農地防災,27,125.8,107,576,都道府県,1972,青森県三戸郡田子町大字遠瀬字花木123,1,POINT (141.0082896153505 40.25524492329424)
14,世増,211,新井田川,新井田川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,上水道用水",52,247,220,36500,農林水産省（各地方農政局含む）,2003,青森県八戸市南郷区世増,1,POINT (141.4804613177315 40.38998457556371)
15,小泊,355,小泊川,小泊川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",33.5,121.5,34,400,都道府県,1996,青森県北津軽郡中泊町字成滝,1,POINT (140.3380720597112 41.12894306011998)
16,津軽（再）,364,岩木川,岩木川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水,発電",97.2,342,759,140900,国土交通省（各地方整備局，北海道開発局含む）,-,青森県中津軽郡西目屋村大字藤川,2,POINT (140.2599588159235 40.53839095888835)
17,目屋（元）,365,岩木川,岩木川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",58,170,118,39000,国土交通省（各地方整備局，北海道開発局含む）,1959,青森県中津軽郡西目屋村大字藤川,1,POINT (140.2599588159235 40.53839095888835)
18,相馬,357,岩木川,作沢川,ロックフィルダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",52.4,222,844,6560,都道府県,2003,青森県弘前市相馬大字沢田字園村63-24,1,POINT (140.3156186525507 40.55430088283355)
19,遠部,370,岩木川,平川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",43,158,84,1420,都道府県,1974,青森県平川市碇ヶ関字西碇ヶ関,1,POINT (140.6494213328965 40.4271751570419)
