,dam_code,geometry
0,191,POINT (140.8858935039343 40.70977115787313)
1,192,POINT (140.7794205974212 40.69177706126573)
2,193,POINT (140.8718785330277 40.8852177040529)
3,194,POINT (140.9914745694981 40.89848478324366)
4,195,POINT (141.0761135962635 40.81095483029088)
5,196,POINT (140.8945231565005 41.27481613108974)
6,198,POINT (141.0565794276781 40.71379766371473)
7,199,POINT (141.0869787205421 40.68919735580545)
8,197,POINT (141.0639843375695 40.78833793038924)
9,201,POINT (141.1044227795576 40.49966053433334)
10,202,POINT (141.0789553503148 40.42725154517273)
11,203,POINT (141.0860830225723 40.46136508974638)
12,209,POINT (140.9893388939927 40.29153260229625)
13,205,POINT (141.0082896153505 40.25524492329424)
14,211,POINT (141.4804613177315 40.38998457556371)
15,355,POINT (140.3380720597112 41.12894306011998)
16,364,POINT (140.2599588159235 40.53839095888835)
17,365,POINT (140.2599588159235 40.53839095888835)
18,357,POINT (140.3156186525507 40.55430088283355)
19,370,POINT (140.6494213328965 40.4271751570419)
20,366,POINT (140.6923925156308 40.44251982808411)
21,359,POINT (140.6731882343641 40.44320949396901)
22,361,POINT (140.5454665839891 40.46749665057602)
23,358,POINT (140.6898105445925 40.59733146986959)
24,371,POINT (140.6824670794305 40.55695747300237)
25,360,POINT (140.7282033386294 40.5878241206608)
26,356,POINT (140.6744711788007 40.71947505138665)
27,368,POINT (140.6372041810789 40.69124554513556)
28,369,POINT (140.6372041810789 40.69124554513556)
29,363,POINT (140.516385720693 40.84112164139793)
30,367,POINT (140.5407898523133 40.88879374841651)
31,362,POINT (140.3298301021646 40.76713258093827)
32,372,POINT (140.1112575487193 40.5358346253454)
33,200,POINT (141.1433478857363 40.4951383655302)
34,1,POINT (141.8938668 45.31615403)
35,2,POINT (142.8843132055575 44.48086685736924)
36,3,POINT (143.33958292 43.94185954)
37,5,POINT (143.38812142 43.60745738)
38,6,POINT (143.75308326 43.85528702)
39,7,POINT (144.06983501 43.97756271)
40,8,POINT (144.22558038 43.69891701000002)
41,9,POINT (144.63005927 43.6707744)
42,10,POINT (145.63890974 43.35821532)
43,11,POINT (143.98427387 43.17417022)
44,20,POINT (142.93904031 43.24059251)
45,12,POINT (142.93636115 43.19712966000002)
46,13,POINT (142.90742457 43.14849020999998)
47,14,POINT (142.88404944 43.43305158)
48,19,POINT (142.83855347 43.17026153)
49,15,POINT (142.85187238 42.80650517000002)
50,18,POINT (143.13262943 43.43074089000001)
51,24,POINT (143.22132114 43.37292954)
52,22,POINT (143.2673056 43.34561111)
53,16,POINT (142.9233963 42.58796402)
54,23,POINT (143.2779962848156 42.87359324110894)
55,25,POINT (143.47910203 43.23325964000001)
56,21,POINT (143.32831657 43.39178042)
57,26,POINT (143.06974443 42.12499108)
58,27,POINT (142.95868459 42.18519444)
59,28,POINT (142.82422383 42.23950186)
60,29,POINT (142.69560479 42.38135916)
61,30,POINT (142.63737363 42.45760853)
62,32,POINT (142.54625028 42.41800027000002)
63,34,POINT (142.56673588 42.41409018)
64,33,POINT (142.5921389 42.54652778)
65,31,POINT (142.7746389 42.47472021)
66,38,POINT (142.67789773 42.67397543000001)
67,35,POINT (142.55670461 42.60635864999998)
68,36,POINT (142.53577414 42.56651047)
69,37,POINT (142.53695792 42.54351215)
70,39,POINT (142.20465323 42.54704461)
71,42,POINT (142.3966423 42.79643117)
72,43,POINT (142.148492 42.62926849)
73,41,POINT (142.3862480068371 42.68030322454107)
74,44,POINT (142.54514489 42.95310138)
75,45,POINT (142.17945634 42.88450303)
76,46,POINT (141.9935612222664 42.76633816471684)
77,47,POINT (142.037 42.79511111000004)
78,48,POINT (141.89706947 42.84081592)
79,49,POINT (141.0803569 42.421642)
80,50,POINT (140.4504499862566 42.10025272291713)
81,51,POINT (140.50340225 42.06328552)
82,52,POINT (140.82515435 41.97155033)
83,53,POINT (140.90818118 41.83914938000002)
84,54,POINT (140.7732778 41.83491667)
85,56,POINT (140.7860370494369 41.87019960756233)
86,57,POINT (140.5128224344489 41.95755908689968)
87,58,POINT (140.59926419 41.86714088)
88,60,POINT (140.30106652 41.61273669)
89,65,POINT (142.7073333 44.11527778)
90,73,POINT (142.75315652 43.97847361)
91,68,POINT (142.37809864 43.98126548)
92,70,POINT (142.22182029 44.09291387)
93,67,POINT (142.21666271 44.26628413000002)
94,69,POINT (142.30757032 44.21225)
95,71,POINT (142.4785 44.20630563999998)
96,74,POINT (142.50028734 44.24245275)
97,64,POINT (142.56241661 44.22172765000002)
98,75,POINT (141.8141667 44.83166667000001)
99,76,POINT (141.85057991 44.40116531)
100,77,POINT (141.92686074 44.34374646)
101,78,POINT (141.9427778 44.30277778)
102,79,POINT (141.84592101 44.25482351)
103,80,POINT (141.78302872 44.18458380999999)
104,83,POINT (141.90611903 44.06439285)
105,84,POINT (141.7691667 43.97711111000001)
106,86,POINT (141.7615047661491 43.83433317936904)
107,87,POINT (141.75498636 43.92710329000001)
108,85,POINT (141.8333333 43.92394444)
109,88,POINT (141.49761391 43.35399575)
110,92,POINT (141.44994148 43.25680323000002)
111,105,POINT (143.03619337 43.67674193000001)
112,118,POINT (142.82001949 43.83318847000001)
113,131,POINT (142.6326667 43.95405499)
114,130,POINT (142.5821667 43.87216667000001)
115,89,POINT (142.64066842 43.80388369)
116,123,POINT (142.63084319 43.82694002)
117,127,POINT (142.66519732 43.71413729)
118,117,POINT (142.51248765 43.60055556)
119,142,POINT (142.59959684 43.49087592000001)
120,122,POINT (142.52366856 43.61189162)
121,158,POINT (142.6299385421827 43.62745548369824)
122,167,POINT (142.34401802 43.60256972999998)
