idx,id,dam,dam_name,url,address,mon,tue,wed,thu,fri,sat,sun,operation_hour,name,prefecture
0,261,105,大雪,http://www.hkd.mlit.go.jp/as/tisui/ho928l00000040bo.html,上川郡上川町字層雲峡大学平,1,1,1,1,1,1,1,9:00~17:00 (土・日・祝日を含む),大雪ダム管理支所,北海道
1,394,158,忠別,http://www.hkd.mlit.go.jp/as/tisui/ho928l00000044km.html,上川郡東川町ノカナン,1,1,1,1,1,1,1,8:30~17:15 (土・日・祝日を含む),忠別ダム管理支所,北海道
2,691,119,金山,http://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005rta.html,空知郡南富良野町字金山,1,1,1,1,1,1,1,9:00~17:00 (土・日・祝日を含む),金山ダム管理支所,北海道
3,515,149,滝里,http://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh4000000cwnt.html,芦別市滝里町６８３,1,1,1,1,1,1,1,9:00~17:00 (土・日・祝日を含む),滝里ダム管理支所,北海道
4,373,,桂沢,http://www.hkd.mlit.go.jp/sp/iwamizawa_kasen/kluhh4000000fmbo.html,三笠市幾春別山手町91-1,1,1,1,1,1,0,0,9:00~17:00 (平日のみ),幾春別川ダム建設事業所,北海道
6,516,109,漁川,http://www.hkd.mlit.go.jp/sp/titose_kasen/kluhh4000000fl9x.html,恵庭市漁平,1,1,1,1,1,1,1,8:30~17:15 (土・日・祝日を含む),漁川ダム管理支所,北海道
7,645,111,豊平峡,http://www.hkd.mlit.go.jp/sp/toyohira_damu/kluhh4000000bqn7.html,札幌市南区定山渓７区,1,1,1,1,1,1,1,9:00~17:00(土・日・祝日を含む) (5月上旬~10月下旬),豊平峡ダム管理支所,北海道
8,646,111,豊平峡,,,1,1,1,1,1,0,0,9:00~16:30(閉庁日(土・日・祝日)は配布しておりません。) (5月上旬~10月下旬),豊平峡ダム資料室,北海道
9,295,91,定山渓,http://www.hkd.mlit.go.jp/sp/toyohira_damu/kluhh4000000bqn7.html,札幌市南区定山渓８区,1,1,1,1,1,0,0,9:00~17:00 (閉庁日(土・日・祝日)及び年末年始(12月29日~1月3日)は配布しておりません。),定山渓ダム管理支所,北海道
10,82,91,定山渓,,,0,1,1,1,1,1,1,9:30~16:00 (開館期間中の毎週月曜日は休館日(月曜日が祝日の場合は、次の平日)のため、配布しておりません。) (開館期間5月上旬~11月上旬),下流園地(ダム資料館),北海道
11,350,65,岩尾内,http://www.hkd.mlit.go.jp/as/tisui/ho928l0000001ey3.html,士別市朝日町岩尾内,1,1,1,1,1,1,1,9:00~17:00 (土・日・祝日を含む),岩尾内ダム管理支所,北海道
12,46,72,サンル,http://www.hkd.mlit.go.jp/as/tisui/ho928l0000001bwp.html,上川郡下川町字珊瑠,1,1,1,1,1,1,1,9:00~17:00(土･日･祝日を含む),サンルダム管理棟,北海道
