番号,水系名,河川名,ダム名,ver,配布場所,配布日時,ダム所在県名,配布場所の住所,ホームページURL,dam_status,dam_name,dam_id,card_distribution_place_id
0,石狩川,石狩川,大雪ダム,1.2,大雪ダム管理支所,9:00~17:00 (土・日・祝日を含む),北海道,上川郡上川町字層雲峡大学平,http://www.hkd.mlit.go.jp/as/tisui/ho928l00000040bo.html,,大雪,105.0,261
1,石狩川,忠別川,忠別ダム,2.0,忠別ダム管理支所,8:30~17:15 (土・日・祝日を含む),北海道,上川郡東川町ノカナン,http://www.hkd.mlit.go.jp/as/tisui/ho928l00000044km.html,,忠別,158.0,394
2,石狩川,空知川,金山ダム,2.1,金山ダム管理支所,9:00~17:00 (土・日・祝日を含む),北海道,空知郡南富良野町字金山,http://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh40000005rta.html,,金山,119.0,691
3,石狩川,空知川,滝里ダム,1.2,滝里ダム管理支所,9:00~17:00 (土・日・祝日を含む),北海道,芦別市滝里町６８３,http://www.hkd.mlit.go.jp/sp/sorati_kasen/kluhh4000000cwnt.html,,滝里,149.0,515
4,石狩川,幾春別川,桂沢ダム,2.1,幾春別川ダム建設事業所,9:00~17:00 (平日のみ),北海道,三笠市幾春別山手町91-1,http://www.hkd.mlit.go.jp/sp/iwamizawa_kasen/kluhh4000000fmbo.html,,桂沢,,373
5,石狩川,幾春別川,新桂沢ダム (建設中),1.0,幾春別川ダム建設事業所,9:00~17:00 (平日のみ),北海道,三笠市幾春別山手町91-1,http://www.hkd.mlit.go.jp/sp/ikushunbetu_damu/kluhh4000000bqxz.html,(建設中),新桂沢 ,,373
6,石狩川,漁川,漁川ダム,1.2,漁川ダム管理支所,8:30~17:15 (土・日・祝日を含む),北海道,恵庭市漁平,http://www.hkd.mlit.go.jp/sp/titose_kasen/kluhh4000000fl9x.html,,漁川,109.0,516
7,石狩川,豊平川,豊平峡ダム,1.2,豊平峡ダム管理支所,9:00~17:00(土・日・祝日を含む) (5月上旬~10月下旬),北海道,札幌市南区定山渓７区,http://www.hkd.mlit.go.jp/sp/toyohira_damu/kluhh4000000bqn7.html,,豊平峡,111.0,645
8,石狩川,豊平川,豊平峡ダム,1.2,豊平峡ダム資料室,9:00~16:30(閉庁日(土・日・祝日)は配布しておりません。) (5月上旬~10月下旬),北海道,,,,豊平峡,111.0,646
9,石狩川,小樽内川,定山渓ダム,1.1,定山渓ダム管理支所,9:00~17:00 (閉庁日(土・日・祝日)及び年末年始(12月29日~1月3日)は配布しておりません。),北海道,札幌市南区定山渓８区,http://www.hkd.mlit.go.jp/sp/toyohira_damu/kluhh4000000bqn7.html,,定山渓,91.0,295
10,石狩川,小樽内川,定山渓ダム,1.1,下流園地(ダム資料館),9:30~16:00 (開館期間中の毎週月曜日は休館日(月曜日が祝日の場合は、次の平日)のため、配布しておりません。) (開館期間5月上旬~11月上旬),北海道,,,,定山渓,91.0,82
11,天塩川,天塩川,岩尾内ダム,1.2,岩尾内ダム管理支所,9:00~17:00 (土・日・祝日を含む),北海道,士別市朝日町岩尾内,http://www.hkd.mlit.go.jp/as/tisui/ho928l0000001ey3.html,,岩尾内,65.0,350
12,天塩川,サンル川,サンルダム,1.1,サンルダム管理棟,9:00~17:00(土･日･祝日を含む),北海道,上川郡下川町字珊瑠,http://www.hkd.mlit.go.jp/as/tisui/ho928l0000001bwp.html,,サンル,72.0,46
